All Results

Player Name,Roll,Number Of Sides
Clarissa Kirby,76,100
Tony Clay,94,100
Aliana Nielsen,56,100
Tru Macias,65,100
Adley Spencer,58,100
Ace Webb,24,100
Ariella Griffin,7,100
Ayden Carlson,4,100
Kali Simmons,28,100
Harrison Tanner,30,100
Harmoni Wilson,27,100
Daniel Contreras,61,100
Daniela Nava,64,100
Stefan Parker,41,100
Aubrey Schmidt,70,100
Zayden Perry,75,100
Clara Reese,56,100
Alijah Green,79,100
Zoe Peterson,14,100
Santiago Griffin,88,100
Charlie Lang,33,100
Wells Marks,97,100
Monica Dorsey,42,100
Enoch Copeland,5,100
Dayana Davenport,39,100
Dariel Quintana,98,100
Kenia Beil,62,100
Ariel Paul,68,100
Daphne Johns,71,100
Joziah Mayer,31,100
Ainhoa Romero,91,100
Bryson Howell,12,100
Mckenna Lozano,68,100
Boone Farley,40,100
Wrenley Duffy,20,100
Kyng Dunn,16,100
Olive Pope,42,100
Gunnar Haynes,14,100
Lexi Quintana,41,100
Kelvin McMillan,62,100
Oakleigh Drake,82,100
Jalen Young,19,100
Zoey Flynn,44,100
Kannon Cherry,93,100
Nyomi Rojas,84,100
Colin Paul,35,100
Daphne Clayton,44,100
Boston Goodman,5,100
Carolina Wilson,42,100
Daniel Mayo,55,100
Aarya Schaefer,67,100
Ishaan Fuentes,82,100
Madeleine Mays,8,100
Jadiel Faulkner,15,100
Ansley Little,24,100
Lennox Allen,5,100
Riley Reyes,40,100
Eli Pitts,100,100
Nala Andersen,89,100
Alistair Booth,53,100
Zariyah Lopez,47,100
Michael Maynard,35,100
Carolyn Navarro,44,100
Reid Myers,67,100
Lydia Mejia,53,100
Atticus Holland,7,100
Mariah Livingston,9,100
Ambrose Higgins,48,100
Leighton Castro,45,100
Jasper White,4,100
Layla Duran,34,100
Ismael Montgomery,26,100
Evangeline Gregory,24,100
Travis Vance,14,100
Maxine Hardy,22,100
Jayceon Blackwell,84,100
Saoirse Day,88,100
Kayson Haynes,77,100
Lexi York,35,100
Leandro Galindo,22,100
Corinne O’Neill,12,100
Marcel Holloway,10,100
Mae Gallagher,22,100
Marcos Patel,49,100
Madeline Houston,83,100
Sylas Valdez,69,100
Diana Snyder,1,100
Thiago Fitzpatrick,41,100
Annabella Short,99,100
Hezekiah Phan,84,100
Elsa Burgess,18,100
Kolton Byrd,62,100
Giselle Ahmed,87,100
Harry Kramer,67,100
Hanna Dunn,6,100
Dawson Sullivan,59,100
Melanie Proctor,8,100
Vance Neal,84,100
Talia Roach,60,100
Caspian Davenport,26,100
Adrianna Conrad,73,100
Dilan Cantu,30,100
Galilea Ruiz,8,100
Austin Wise,37,100
Mira Robles,91,100
Otto Day,6,100
Hayden Rocha,14,100
Onyx Dudley,18,100
Hadleigh Patel,4,100
Parker Moore,67,100
Emily Ware,81,100
Tadeo Chan,10,100
Hattie Robertson,87,100
Emiliano Hines,74,100
Poppy Frost,85,100
Dario Carson,58,100
Nalani Tang,82,100
Rogelio Wu,72,100
Liana Vega,52,100
Aidan Nixon,6,100
Deborah Brady,81,100
Reed Hunter,66,100
Khloe Schroeder,26,100
Izaiah Rivas,74,100
Averie Juarez,66,100
Joaquin Stevenson,36,100
Regina Lester,64,100
Lee Cohen,87,100
Destiny Lu,96,100
Duncan Payne,37,100
